title,address,room_type,price,review_score,num_reviews
Whitsunday Sands Resort,Bowen,1 double bed,AUD 170,9.0,Number of reviews not found
Contour Hotel Katherine,Katherine,"2 beds (1 single, 1 double)",AUD 273,8.1,Number of reviews not found
Woomargama Motel,Woomargama,1 large double bed,AUD 122,8.9,Number of reviews not found
Aquarius Kawana,Kawana Waters,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 100m²,AUD 297,8.6,Number of reviews not found
Sage Melbourne Ringwood,Ringwood,1 extra-large double bed,AUD 204,8.7,Number of reviews not found
Low Head Pilot Station,Low Head,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 70m²,AUD 358,8.8,Number of reviews not found
Atura Blacktown,Blacktown,2 single beds,AUD 179,8.1,Number of reviews not found
Kalbarri Palm Resort,Kalbarri,"2 beds (1 single, 1 double)",AUD 139,8.0,Number of reviews not found
Angel Sussurri,Yarramalong,Multiple bed types,AUD 300,9.0,Number of reviews not found
Kryal Castle Ballarat,Ballarat,"8 beds (1 double, 7 bunk beds)",AUD 153,8.1,Number of reviews not found
Quest Bella Vista,Baulkham Hills,1 double bed,AUD 193,8.5,Number of reviews not found
Ceduna Foreshore Hotel Motel,Ceduna,"2 beds (1 single, 1 double)",AUD 150,8.2,Number of reviews not found
Echelon Apartments Yeppoon,Yeppoon,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 114m²,AUD 385,8.5,Number of reviews not found
Pine Tree Motel,Katherine,Entire studio • 1 bathroom • 30m²,AUD 106,8.1,Number of reviews not found
Dolphin Lodge Albany - Self Contained Apartments at Middleton Beach,Albany,1 large double bed,AUD 205,9.0,Number of reviews not found
"Hospitality Carnarvon, SureStay Collection by Best Western",Carnarvon,"2 beds (1 single, 1 double)",AUD 154,7.9,Number of reviews not found
Robetown Motor Inn & Apartments,Robe,1 large double bed,AUD 155,8.0,Number of reviews not found
Maclin Lodge Motel,Campbelltown,"2 beds (1 single, 1 large double)",AUD 145,8.1,Number of reviews not found
Gundagai Tourist Suites,Gundagai,Entire bungalow • 1 bathroom • 25m²,AUD 150,8.6,Number of reviews not found
Exmouth Escape Resort,Exmouth,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 36m²,AUD 298,8.6,Number of reviews not found
Cobb Inlander Motel,Hay,"2 beds (1 single, 1 double)",AUD 160,6.7,Number of reviews not found
Lancemore Milawa,Milawa,1 extra-large double bed,AUD 374,8.6,Number of reviews not found
"Mu S Boutique Motel ""Matthew Flinders""",Coonabarabran,"2 beds (1 single, 1 large double)",AUD 159,7.8,Number of reviews not found
"Hospitality Kalgoorlie, SureStay Collection by Best Western",Kalgoorlie,1 large double bed,AUD 175,7.7,Number of reviews not found
Port Arthur Motor Inn,Port Arthur,"2 beds (1 single, 1 double)",AUD 145,7.9,Number of reviews not found
